cluster_id,trial_index,completion_rate,destroyed_value,total_value,surviving_attack_uavs,mean_hit_probability,distance_consumption
1,286,0.25,1.0,4.0,1.0,0.5577708956313779,1.0
1,287,0.25,1.0,4.0,1.0,0.523209781698299,1.0
1,288,0.75,3.0,4.0,1.0,0.5987823807259697,1.0
1,289,0.0,0.0,4.0,0.0,0.0,0.0
1,290,0.75,3.0,4.0,1.0,0.5344461559029638,1.0
1,291,0.75,3.0,4.0,1.0,0.586736753668113,1.0
1,292,0.75,3.0,4.0,1.0,0.5270828519671438,1.0
1,293,1.0,4.0,4.0,1.0,0.56022228475649,1.0
1,294,0.0,0.0,4.0,1.0,0.5020501017536165,1.0
1,295,0.5,2.0,4.0,1.0,0.5065279498950194,1.0
1,296,0.0,0.0,4.0,0.0,0.0,0.0
1,297,1.0,4.0,4.0,1.0,0.5937600361310024,1.0
1,298,0.5,2.0,4.0,1.0,0.520470974306871,1.0
1,299,0.25,1.0,4.0,1.0,0.5451323900493991,1.0
0,0,1.0,2.0,2.0,1.0,0.6587232119773065,1.0
0,1,0.5,1.0,2.0,1.0,0.6286255948140087,1.0
0,2,0.5,1.0,2.0,1.0,0.642646557143101,1.0
0,3,0.5,1.0,2.0,1.0,0.5543765773714302,1.0
0,4,0.0,0.0,2.0,0.0,0.0,0.0
0,5,1.0,2.0,2.0,1.0,0.6109981467145671,1.0
0,6,1.0,2.0,2.0,1.0,0.632775257241578,1.0
0,7,0.5,1.0,2.0,1.0,0.6283143047521185,1.0
0,8,0.5,1.0,2.0,1.0,0.5604577540520914,1.0
0,9,0.5,1.0,2.0,1.0,0.6062231866176817,1.0
0,10,0.5,1.0,2.0,1.0,0.5715805598729349,1.0
0,11,1.0,2.0,2.0,1.0,0.6206426031809134,1.0
0,12,0.5,1.0,2.0,1.0,0.5501087836723082,1.0
0,13,1.0,2.0,2.0,1.0,0.7027468576751144,1.0
0,14,1.0,2.0,2.0,1.0,0.5010011193124424,1.0
0,15,1.0,2.0,2.0,1.0,0.5940564975310275,1.0
0,16,0.5,1.0,2.0,1.0,0.5718516955461397,1.0
0,17,1.0,2.0,2.0,1.0,0.6001253263287609,1.0
0,18,1.0,2.0,2.0,1.0,0.5368979709114287,1.0
0,19,0.0,0.0,2.0,1.0,0.5634770816487731,1.0
0,20,0.5,1.0,2.0,1.0,0.6107268326858728,1.0
0,21,0.5,1.0,2.0,1.0,0.588814120348736,1.0
0,22,1.0,2.0,2.0,1.0,0.6066845628323827,1.0
0,23,1.0,2.0,2.0,1.0,0.5936705747813027,1.0
0,24,0.5,1.0,2.0,1.0,0.6304507777432256,1.0
0,25,0.5,1.0,2.0,1.0,0.5372470657948997,1.0
0,26,0.5,1.0,2.0,1.0,0.5549132764976917,1.0
0,27,1.0,2.0,2.0,1.0,0.51197431034673,1.0
0,28,0.5,1.0,2.0,1.0,0.5805399361357051,1.0
0,29,0.5,1.0,2.0,1.0,0.6045513096208406,1.0
0,30,1.0,2.0,2.0,1.0,0.5912084795785943,1.0
0,31,1.0,2.0,2.0,1.0,0.6249080522665715,1.0
0,32,1.0,2.0,2.0,1.0,0.6228389317849994,1.0
0,33,0.0,0.0,2.0,0.0,0.0,0.0
0,34,0.0,0.0,2.0,1.0,0.6203673590303779,1.0
0,35,0.5,1.0,2.0,1.0,0.6032470918686121,1.0
0,36,0.5,1.0,2.0,1.0,0.5232501644290293,1.0
0,37,1.0,2.0,2.0,1.0,0.5820166237096769,1.0
0,38,0.5,1.0,2.0,1.0,0.6064832913893501,1.0
0,39,0.5,1.0,2.0,1.0,0.6159234868315085,1.0
0,40,1.0,2.0,2.0,1.0,0.6060442857114421,1.0
0,41,0.0,0.0,2.0,1.0,0.5423245073954215,1.0
0,42,0.5,1.0,2.0,1.0,0.5680611186320809,1.0
